datetime,fromNode,pm10Standard,pm25Standard,pm100Standard,pm10Environmental,pm25Environmental,pm100Environmental,rxSnr,rxRssi,rxTime,hopStart,hopLimit
2026-01-25 13:59:00.437537,0x433abf20,4,6,6,4,6,6,5.5,-87,,3,3
2026-01-25 13:59:30.943884,0x433af380,12,18,18,12,18,18,6.0,-46,,3,3
2026-01-25 13:59:35.789867,0x433ad35c,10,14,15,10,14,15,6.0,-53,,3,3
2026-01-25 13:59:37.541667,0x433b0b38,6,8,8,6,8,8,5.75,-71,,5,5
2026-01-25 13:59:42.196820,0x433abf20,4,9,9,4,9,9,5.5,-76,,3,3
2026-01-25 14:00:32.017363,0x433af380,11,20,21,11,20,21,6.0,-45,,3,3
2026-01-25 14:00:36.512545,0x433ad35c,9,12,12,9,12,12,6.25,-54,,3,3
2026-01-25 14:00:40.096717,0x433b0b38,8,14,17,8,14,17,5.5,-78,,5,4
2026-01-25 14:00:43.021734,0x433abf20,4,6,6,4,6,6,7.25,-74,,3,3
2026-01-25 14:01:32.118337,0x433af380,12,15,15,12,15,15,6.25,-39,,3,3
2026-01-25 14:01:36.861684,0x433ad35c,8,9,10,8,9,10,6.25,-53,,3,3
2026-01-25 14:01:43.004943,0x433abf20,5,6,6,5,6,6,6.0,-80,,3,3
2026-01-25 14:01:46.194091,0x433b0b38,9,14,16,9,14,16,6.0,-70,,5,5
2026-01-25 14:02:32.125776,0x433af380,13,18,20,13,18,20,5.75,-43,,3,3
2026-01-25 14:02:36.497145,0x433ad35c,10,14,16,10,14,16,6.25,-55,,3,3
2026-01-25 14:02:41.814330,0x433abf20,3,5,5,3,5,5,5.5,-78,,3,3
2026-01-25 14:02:45.576918,0x433b0b38,10,14,14,10,14,14,6.0,-72,,5,4
2026-01-25 14:03:32.613036,0x433af380,14,20,20,14,20,20,5.75,-40,,3,3
2026-01-25 14:03:37.061771,0x433ad35c,6,9,9,6,9,9,6.25,-54,,3,3
2026-01-25 14:03:38.705206,0x433b0b38,7,12,12,7,12,12,5.75,-70,,5,5
2026-01-25 14:03:42.179245,0x433abf20,2,5,6,2,5,6,5.25,-83,,3,3
2026-01-25 14:04:32.048855,0x433af380,11,16,16,11,16,16,6.25,-39,,3,3
2026-01-25 14:04:37.263135,0x433ad35c,8,12,13,8,12,13,6.5,-54,,3,3
2026-01-25 14:04:40.587200,0x433b0b38,11,12,12,11,12,12,6.0,-71,,5,5
2026-01-25 14:04:43.549120,0x433abf20,4,5,5,4,5,5,5.75,-76,,3,3
2026-01-25 14:05:32.601418,0x433af380,14,19,19,14,19,19,6.0,-39,1769378731,3,3
2026-01-25 14:05:37.564615,0x433b0b38,8,11,12,8,11,12,5.75,-71,1769378736,5,5
2026-01-25 14:05:39.195450,0x433ad35c,9,12,13,9,12,13,7.25,-54,1769378738,3,3
2026-01-25 14:05:42.891446,0x433abf20,5,8,8,5,8,8,5.5,-77,1769378742,3,3
2026-01-25 14:06:32.492528,0x433af380,11,16,16,11,16,16,6.0,-39,1769378791,3,3
2026-01-25 14:06:38.393958,0x433ad35c,10,14,16,10,14,16,5.75,-54,1769378797,3,3
2026-01-25 14:06:40.291319,0x433b0b38,9,12,12,9,12,12,5.25,-70,1769378799,5,5
2026-01-25 14:06:42.898784,0x433abf20,5,9,9,5,9,9,5.5,-76,1769378802,3,3
2026-01-25 14:07:32.748280,0x433af380,8,13,13,8,13,13,5.75,-40,1769378851,3,3
2026-01-25 14:07:38.998085,0x433b0b38,9,14,15,9,14,15,5.75,-70,1769378858,5,5
2026-01-25 14:07:42.236699,0x433ad35c,11,16,17,11,16,17,6.75,-54,1769378861,3,3
2026-01-25 14:07:44.719059,0x433abf20,4,7,7,4,7,7,6.25,-76,1769378863,3,3
2026-01-25 14:08:32.965498,0x433af380,11,16,17,11,16,17,5.75,-40,1769378912,3,3
